annee;code_NAF1;libelle_NAF1;NAF1;code_NAF5;libelle_NAF5;NAF5;risque;nb_jours_arret_travail;nb_jours_arret_travail_txt
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0161Z;Activités de soutien aux cultures;0161Z - Activités de soutien aux cultures;Tous risques confondus;2000;2000
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0162Z;Activités de soutien à la production animale;0162Z - Activités de soutien à la production animale;Accidents de trajet;63;63
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0162Z;Activités de soutien à la production animale;0162Z - Activités de soutien à la production animale;Accidents du travail;1310;1310
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0162Z;Activités de soutien à la production animale;0162Z - Activités de soutien à la production animale;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0162Z;Activités de soutien à la production animale;0162Z - Activités de soutien à la production animale;Tous risques confondus;1373;1373
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0163Z;Traitement primaire des récoltes;0163Z - Traitement primaire des récoltes;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0163Z;Traitement primaire des récoltes;0163Z - Traitement primaire des récoltes;Accidents du travail;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0163Z;Traitement primaire des récoltes;0163Z - Traitement primaire des récoltes;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0163Z;Traitement primaire des récoltes;0163Z - Traitement primaire des récoltes;Tous risques confondus;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0164Z;Traitement des semences;0164Z - Traitement des semences;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0164Z;Traitement des semences;0164Z - Traitement des semences;Accidents du travail;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0164Z;Traitement des semences;0164Z - Traitement des semences;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0164Z;Traitement des semences;0164Z - Traitement des semences;Tous risques confondus;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0170Z;Chasse, piégeage et services annexes;0170Z - Chasse, piégeage et services annexes;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0170Z;Chasse, piégeage et services annexes;0170Z - Chasse, piégeage et services annexes;Accidents du travail;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0170Z;Chasse, piégeage et services annexes;0170Z - Chasse, piégeage et services annexes;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0170Z;Chasse, piégeage et services annexes;0170Z - Chasse, piégeage et services annexes;Tous risques confondus;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0210Z;Sylviculture et autres activités forestières;0210Z - Sylviculture et autres activités forestières;Accidents de trajet;0;0
