annee;code_NAF1;libelle_NAF1;NAF1;code_NAF5;libelle_NAF5;NAF5;ordre_taille_entreprise;taille_entreprise;nb_entreprises;nb_salaries;nb_salaries_int;nb_entreprises_int
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;7;'500 et plus;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;;'Toutes tranches d'effectifs confondues;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;1;'Moins de 10;NS;NS;;
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;2;'10-19;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;3;'20-49;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;4;'50-149;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;5;'150-199;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;6;'200-499;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;7;'500 et plus;0;0;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;;'Toutes tranches d'effectifs confondues;NS;NS;;
