annee;risque;code_naf1;libelle_naf1;naf1;code_naf5;libelle_naf5;naf5;nb_sinistres;nb_salaries;indice_frequence;nb_sinistres_int;nb_salaries_int;indice_frequence_int
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2910Z;Construction de véhicules automobiles;2910Z - Construction de véhicules automobiles;377;79635;NC;377;79635;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2920Z;Fabrication de carrosseries et remorques;2920Z - Fabrication de carrosseries et remorques;149;26001;NC;149;26001;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2931Z;Fabrication d'équipements électriques et électroniques automobiles;2931Z - Fabrication d'équipements électriques et électroniques automobiles;64;10701;NC;64;10701;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2932Z;Fabrication d'autres équipements automobiles;2932Z - Fabrication d'autres équipements automobiles;420;51822;NC;420;51822;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3011Z;Construction de navires et de structures flottantes;3011Z - Construction de navires et de structures flottantes;57;21388;NC;57;21388;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3012Z;Construction de bateaux de plaisance;3012Z - Construction de bateaux de plaisance;83;9822;NC;83;9822;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3020Z;Construction de locomotives et d'autre matériel ferroviaire roulant;3020Z - Construction de locomotives et d'autre matériel ferroviaire roulant;36;16579;NC;36;16579;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3030Z;Construction aéronautique et spatiale;3030Z - Construction aéronautique et spatiale;176;124431;NC;176;124431;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3040Z;Construction de véhicules militaires de combat;3040Z - Construction de véhicules militaires de combat;26;2377;NC;26;2377;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3091Z;Fabrication de motocycles;3091Z - Fabrication de motocycles;15;2130;NC;15;2130;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3092Z;Fabrication de bicyclettes et de véhicules pour invalides;3092Z - Fabrication de bicyclettes et de véhicules pour invalides;7;1946;NC;7;1946;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3099Z;Fabrication d'autres équipements de transport n.c.a.;3099Z - Fabrication d'autres équipements de transport n.c.a.;0;167;NC;0;167;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3101Z;Fabrication de meubles de bureau et de magasin;3101Z - Fabrication de meubles de bureau et de magasin;51;10446;NC;51;10446;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3102Z;Fabrication de meubles de cuisine;3102Z - Fabrication de meubles de cuisine;59;6880;NC;59;6880;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3103Z;Fabrication de matelas;3103Z - Fabrication de matelas;29;2915;NC;29;2915;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;3109A;Fabrication de sièges d'ameublement d'intérieur;3109A - Fabrication de sièges d'ameublement d'intérieur;11;1715;NC;11;1715;
