annee;code_NAF5;libelle_NAF5;risque;nb_jours_arret_travail
2017;9521Z;Réparation de produits électroniques grand public;Accidents du travail;16517.0
2017;9521Z;Réparation de produits électroniques grand public;Maladies professionnelles;2270.0
2017;9522Z;Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin;Accidents de trajet;2620.0
2017;9522Z;Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin;Accidents du travail;22573.0
2017;9522Z;Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin;Maladies professionnelles;535.0
2017;9523Z;Réparation de chaussures et d'articles en cuir;Accidents de trajet;172.0
2017;9523Z;Réparation de chaussures et d'articles en cuir;Accidents du travail;1572.0
2017;9523Z;Réparation de chaussures et d'articles en cuir;Maladies professionnelles;1851.0
2017;9524Z;Réparation de meubles et d'équipements du foyer;Accidents de trajet;354.0
2017;9524Z;Réparation de meubles et d'équipements du foyer;Accidents du travail;1927.0
2017;9524Z;Réparation de meubles et d'équipements du foyer;Maladies professionnelles;563.0
2017;9525Z;Réparation d'articles d'horlogerie et de bijouterie;Accidents de trajet;23.0
2017;9525Z;Réparation d'articles d'horlogerie et de bijouterie;Accidents du travail;2021.0
2017;9525Z;Réparation d'articles d'horlogerie et de bijouterie;Maladies professionnelles;487.0
2017;9529Z;Réparation d'autres biens personnels et domestiques;Accidents de trajet;1785.0
2017;9529Z;Réparation d'autres biens personnels et domestiques;Accidents du travail;6478.0
2017;9529Z;Réparation d'autres biens personnels et domestiques;Maladies professionnelles;3002.0
2017;9601A;Blanchisserie-teinturerie de gros;Accidents de trajet;4818.0
2017;9601A;Blanchisserie-teinturerie de gros;Accidents du travail;38982.0
2017;9601A;Blanchisserie-teinturerie de gros;Maladies professionnelles;21501.0
2017;9601B;Blanchisserie-teinturerie de détail;Accidents de trajet;3705.0
2017;9601B;Blanchisserie-teinturerie de détail;Accidents du travail;17856.0
2017;9601B;Blanchisserie-teinturerie de détail;Maladies professionnelles;24602.0
2017;9602A;Coiffure;Accidents de trajet;38877.0
2017;9602A;Coiffure;Accidents du travail;60685.0
2017;9602A;Coiffure;Maladies professionnelles;118865.0
2017;9602B;Soins de beauté;Accidents de trajet;7757.0
2017;9602B;Soins de beauté;Accidents du travail;15868.0
2017;9602B;Soins de beauté;Maladies professionnelles;6982.0
2017;9603Z;Services funéraires;Accidents de trajet;5662.0
2017;9603Z;Services funéraires;Accidents du travail;69798.0
2017;9603Z;Services funéraires;Maladies professionnelles;9414.0
2017;9604Z;Entretien corporel;Accidents de trajet;2890.0
2017;9604Z;Entretien corporel;Accidents du travail;22208.0
2017;9604Z;Entretien corporel;Maladies professionnelles;7163.0
2017;9609Z;Autres services personnels n.c.a.;Accidents de trajet;24137.0
2017;9609Z;Autres services personnels n.c.a.;Accidents du travail;153974.0
2017;9609Z;Autres services personnels n.c.a.;Maladies professionnelles;28173.0
2017;9700Z;Activités des ménages en tant qu'employeurs de personnel domestique;Accidents de trajet;0.0
2017;9700Z;Activités des ménages en tant qu'employeurs de personnel domestique;Accidents du travail;0.0
2017;9700Z;Activités des ménages en tant qu'employeurs de personnel domestique;Maladies professionnelles;0.0
2017;9810Z;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;Accidents de trajet;0.0
2017;9810Z;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;Accidents du travail;0.0
2017;9810Z;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;Maladies professionnelles;0.0
2017;9820Z;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;Accidents de trajet;0.0
2017;9820Z;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;Accidents du travail;0.0
2017;9820Z;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;Maladies professionnelles;0.0
2017;9900Z;Activités des organisations et organismes extraterritoriaux;Accidents de trajet;2524.0
2017;9900Z;Activités des organisations et organismes extraterritoriaux;Accidents du travail;4509.0
2017;9900Z;Activités des organisations et organismes extraterritoriaux;Maladies professionnelles;983.0
